OG_INDEX,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,CLUSTER
6245,198306039,1,B2094,EUROPEAN INVESTMENT BANK,EUROPEAN INVESTMENT BANK,,SUPRANATIONAL,,U99,,,281
6246,198306040,1,B2533,KINGDOM OF SWEDEN,KINGDOM SWEDEN,,SWEDEN,SWE,O84,,,659
6247,198306041,1,B5664,TURKISH PETROLEUM CORPORATION,TURKISH PETROLEUM CORPORATION,,TURKEY,TUR,C19,,,5691
6248,198306042,1,B1118,CASTLE AND COOKE INC,CASTLE COOKE INC,,UNITED STATES,USA,L68,,,848
6249,198306043,1,B1866,EASTERN AIRLINES,EASTERN AIRLINES,,UNITED STATES,USA,H51,,,6292
6250,198306044,1,B2041,EQUITABLE RELOCATION MANAGEMENT CORP,EQUITABLE RELOCATION MANAGEMENT CORP,,UNITED STATES,USA,N77,,,5027
6251,198306045,1,B0267,HEALTH GROUP,HEALTH GROUP,,UNITED STATES,USA,Q86,,,1333
6252,198306046,1,B2828,HOUSTON LIGHTING AND POWER CO,HOUSTON LIGHTING POWER CO,,UNITED STATES,USA,D35,,,8433
6253,198306047,1,B4223,PACIFIC GAS AND ELECTRIC CO,PACIFIC GAS ELECTRIC CO,,UNITED STATES,USA,D35,,,8800
6254,198306048,1,B0715,BANK OF ZAMBIA,BANK ZAMBIA,,ZAMBIA,ZMB,K64,,,364
6255,198307001,1,B5197,SONATRACH,SONATRACH,,ALGERIA,DZA,C19,,,678
6256,198307002,1,B2691,HARTOGEN ENERGY LTD,HARTOGEN ENERGY LTD,,AUSTRALIA,AUS,,,,7710
6257,198307003,1,B5312,STATE ENERGY COMMISSION OF WESTERN AUSTRALIA,STATE ENERGY COMMISSION WESTERN AUSTRALIA,,AUSTRALIA,AUS,D35,,,1957
6258,198307004,1,B0323,ARAB IRON AND STEEL CO,ARAB IRON STEEL CO,,BAHRAIN,BHR,C24,,,7046
6259,198307005,1,B4299,PECTEN CAMEROON COMPANY,PECTEN CAMEROON COMPANY,,CAMEROON,CMR,F43,,,8670
6260,198307006,1,B2428,GOLDEN FLOWER HOTEL COMPANY,GOLDEN FLOWER HOTEL COMPANY,,CHINA,CHN,I55,,,8553
6261,198307007,1,B2979,INSTITUTO DE FOMENTO INDUSTRIAL,INSTITUTO DE FOMENTO INDUSTRIAL,,COLOMBIA,COL,,,,10497
6262,198307008,1,B1703,DANISH EXPORT FINANCE CORPORATION,DANISH EXPORT FINANCE CORPORATION,,DENMARK,DNK,K64,,,5986
6263,198307009,1,B1703,DANISH EXPORT FINANCE CORPORATION,DANISH EXPORT FINANCE CORPORATION,,DENMARK,DNK,K64,,,5986
6264,198307010,1,B3816,MORTAGE BANK OF DENMARK,MORTAGE BANK DENMARK,,DENMARK,DNK,K64,,,424
6265,198307011,1,B5149,SOCIETE NATIONALE DES CHEMINS DE FER FRANCAIS,SOCIETE NATIONALE DES CHEMINS DE FER FRANCAIS,,FRANCE,FRA,H49,,,9420
6266,198307012,1,B0701,BANK OF GREECE,BANK GREECE,,GREECE,GRC,K64,,,540
6267,198307013,1,B3746,MINDEX BATTERY WORKS,MINDEX BATTERY WORKS,,HONG KONG,HKG,,,,4668
6268,198307014,1,B0468,AUTOPISTAS CONCESIONARIA DE ESPANA SA,AUTOPISTAS CONCESIONARIA DE ESPANA SA,,ITALY,ITA,F42,,,8910
6269,198307015,1,B0586,BANCO DI NAPOLI,BANCO DI NAPOLI,,ITALY,ITA,K64,,,10282
6270,198307016,1,B2024,ENTE FINANZIORIO INTERBANCARIO SPA,ENTE FINANZIORIO INTERBANCARIO SPA,,ITALY,ITA,K64,,,1465
6271,198307016,2,B1542,CONSORZIO DI CREDITO PER LE OPERE PUBBLICHE,CONSORZIO DI CREDITO PER LE OPERE PUBBLICHE,,ITALY,ITA,K64,,,1732
6272,198307016,3,B0522,BANCA NAZIONALE DEL LAVORO,BANCA NAZIONALE DEL LAVORO,,ITALY,ITA,K64,,,1646
6273,198307017,1,B2026,ENTE NAZIONALE PER L'ENERGIA ELETTRICA,ENTE NAZIONALE PER LENERGIA ELETTRICA,,ITALY,ITA,D35,,,1639
6274,198307018,1,B2026,ENTE NAZIONALE PER L'ENERGIA ELETTRICA,ENTE NAZIONALE PER LENERGIA ELETTRICA,,ITALY,ITA,D35,,,1639
6275,198307019,1,B2181,FIAT TTG,FIAT TTG,,ITALY,ITA,,,,3300
6276,198307020,1,B3644,MEDIOCREDITO CENTRALE,MEDIOCREDITO CENTRALE,,ITALY,ITA,K64,,,2655
6277,198307021,1,B4159,OLIVETTI INTERNATIONAL SA (LUXEMBOURG),OLIVETTI INTERNATIONAL SA LUXEMBOURG,,ITALY,ITA,C32,,,5323
6278,198307022,1,B0268,AMMAN WATER AND SEWER AUTHORITY,AMMAN WATER SEWER AUTHORITY,,JORDAN,JOR,,,,2578
6279,198307023,1,B5766,UNITED REALTY CO,UNITED REALTY CO,,KUWAIT,KWT,,,,7320
6280,198307024,1,B4782,SABAH ENERGY CORPORATION,SABAH ENERGY CORPORATION,,MALAYSIA,MYS,D35,,,5814
6281,198307025,1,B2497,KINGDOM OF MOROCCO,KINGDOM MOROCCO,,MOROCOO,MAR,O84,,,662
6282,198307026,1,B2503,ONDO STATE OF NIGERIA,ONDO STATE NIGERIA,,NIGERIA,NGA,O84,,,1903
6283,198307027,1,B2392,GEOPHYSICAL COMPANY OF NORWAY,GEOPHYSICAL COMPANY NORWAY,,NORWAY,NOR,C19,,,8698
6284,198307028,1,B4030,NORGES SKIBSHYPOTEK A/S MINDE,NORGES SKIBSHYPOTEK AS MINDE,,NORWAY,NOR,,,,2076
6285,198307029,1,B4237,PAKISTAN INTERNATIONAL AIRLINES,PAKISTAN INTERNATIONAL AIRLINES,,PAKISTAN,PAK,H51,,,5287
6286,198307030,1,B2510,MINISTRY OF TRANSPORT AND CIVIL AVIATION,MINISTRY TRANSPORT CIVIL AVIATION,,PEOPLE'S REPUBLIC OF THE CONGO,COG,O84,,,3226
6287,198307031,1,B3535,MABCO PREFABRICATED BUILDING CO LTD,MABCO PREFABRICATED BUILDING CO LTD,,SAUDI ARABIA,SAU,F41,,,7853
6288,198307032,1,B2656,HALLA CONSTRUCTION COMPANY,HALLA CONSTRUCTION COMPANY,,SOUTH KOREA,KOR,F41,,,8704
6289,198307033,1,B2871,ICC CONSTRUCTION CO LTD,ICC CONSTRUCTION CO LTD,,SOUTH KOREA,KOR,F42,,,8231
6290,198307034,1,B3217,KEANG NAM ENTERPRISES,KEANG NAM ENTERPRISES,,SOUTH KOREA,KOR,F42,,,2970
6291,198307035,1,B3856,NAM KWANG ENGINEERING AND CONSTRUCTION CO,NAM KWANG ENGINEERING CONSTRUCTION CO,,SOUTH KOREA,KOR,,,,8243
6292,198307036,1,B5281,SSANGYONG CONSTRUCTION CO,SSANGYONG CONSTRUCTION CO,,SOUTH KOREA,KOR,F41,,,8241
6293,198307037,1,B6049,YOUNGJIN SHIPPING CO LTD,YOUNGJIN SHIPPING CO LTD,,SOUTH KOREA,KOR,,,,7631
6294,198307038,1,B0473,AUTOPISTA CONCESIONARIA ASTUR-LEONESA SA,AUTOPISTA CONCESIONARIA ASTURLEONESA SA,,SPAIN,ESP,F43,,,8947
6295,198307039,1,B1507,CIA SEVILLANA DE ELECTRICIDAD,CIA SEVILLANA DE ELECTRICIDAD,,SPAIN,ESP,D35,,,10616
6296,198307040,1,B1507,CIA SEVILLANA DE ELECTRICIDAD,CIA SEVILLANA DE ELECTRICIDAD,,SPAIN,ESP,D35,,,10616
6297,198307041,1,B2529,CITY OF BARCELONA,CITY BARCELONA,,SPAIN,ESP,O84,,,2373
6298,198307042,1,B2529,GENERALITAT DE CATALUNYA,GENERALITAT DE CATALUNYA,,SPAIN,ESP,O84,,,9876
6299,198307043,1,B2529,GENERALITAT DE CATALUNYA,GENERALITAT DE CATALUNYA,,SPAIN,ESP,O84,,,9876
6300,198307044,1,B2737,HIDROELECTRICA DE CATALUNA SA,HIDROELECTRICA DE CATALUNA SA,,SPAIN,ESP,D35,,,10455
6301,198307045,1,B4843,LAND ROVER SANTANA,LAND ROVER SANTANA,,SPAIN,ESP,C29,,,7811
6302,198307046,1,B2954,PIRELLI,PIRELLI,SPANISH SUBSIDIARY,SPAIN,ESP,K64,,,3713
6303,198307047,1,B6003,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,INTERNATIONAL BANK RECONSTRUCTION DEVELOPMENT,,SUPRANATIONAL,,U99,,,198
6304,198307048,1,B5414,TAIWAN POWER CO,TAIWAN POWER CO,,TAIWAN,TWN,D35,,,8428
6305,198307049,1,B5664,ISTANBUL PETROL RAFINERISI,ISTANBUL PETROL RAFINERISI,,TURKEY,TUR,C19,,,3969
6306,198307050,1,B0115,AGRICULTURAL MORTAGE CORP,AGRICULTURAL MORTAGE CORP,,UNITED KINGDOM,GBR,K64,,,5257
6307,198307051,1,B2645,GW SPARROW,GW SPARROW,,UNITED KINGDOM,GBR,,,,4278
6308,198307052,1,B2845,HUMANA INC,HUMANA INC,,UNITED STATES,USA,K65,,,934
6309,198307053,1,B4223,PACIFIC GAS AND ELECTRIC CO,PACIFIC GAS ELECTRIC CO,,UNITED STATES,USA,D35,,,8800
6310,198307054,1,B4632,RCA CORPORATION,RCA CORPORATION,,UNITED STATES,USA,,,,5873
6311,198307055,1,B4719,ROCKEFELLER SERVICE CORPORATION,ROCKEFELLER SERVICE CORPORATION,,UNITED STATES,USA,L68,,,5791
6312,198307056,1,B5616,TRAVELERS CORPORATION,TRAVELERS CORPORATION,,UNITED STATES,USA,K65,,,5865
6313,198308001,1,B5197,SONATRACH,SONATRACH,,ALGERIA,DZA,C19,,,678
6314,198308002,1,B0049,ACI RESOURCES LTD,ACI RESOURCES LTD,,AUSTRALIA,AUS,P85,,,7693
6315,198308003,1,B2145,FARRER PROPERTIES LTD,FARRER PROPERTIES LTD,,AUSTRALIA,AUS,L68,,,6474
6316,198308004,1,B4408,PIONEER CONCRETE SERVICES,PIONEER CONCRETE SERVICES,,AUSTRALIA,AUS,C23,,,7556
6317,198308005,1,B2451,KINGDOM OF BELGIUM,KINGDOM BELGIUM,,BELGIUM,BEL,O84,,,658
6318,198308006,1,B1161,CENTRAIS ELETRICAS BRASILEIRAS,CENTRAIS ELETRICAS BRASILEIRAS,,BRAZIL,BRA,D35,,,8990
6319,198308007,1,B2004,EMPRESAS NUCLEARES BRASILEIRAS SA,EMPRESAS NUCLEARES BRASILEIRAS SA,,BRAZIL,BRA,D35,,,8968
6320,198308008,1,B2982,INSTITUTO DEL AZUCAR E DO ALCOOL,INSTITUTO DEL AZUCAR E DO ALCOOL,,BRAZIL,BRA,,,,10036
6321,198308009,1,B1940,ELF SEREPCA CAMEROON,ELF SEREPCA CAMEROON,,CAMEROON,CMR,,,,3119
6322,198308010,1,B5006,SIDBEC-NORMINES INC,SIDBECNORMINES INC,,CANADA,CAN,,,,1003
6323,198308011,1,B5789,URANERZ EXPLORATION AND MINING LTD,URANERZ EXPLORATION MINING LTD,,CANADA,CAN,,,,7792
6324,198308012,1,B2074,ETHIOPIAN SHIPPING LINES CORP,ETHIOPIAN SHIPPING LINES CORP,,ETHIOPIA,ETH,H50,,,4902
6325,198308013,1,B3605,MASS TRANSIT RAILWAY CORPORATION,MASS TRANSIT RAILWAY CORPORATION,,HONG KONG,HKG,H49,,,5644
6326,198308014,1,B4185,ORISSA MINING CORP,ORISSA MINING CORP,,INDIA,IND,B07,,,4977
6327,198308015,1,B4536,PT LANDMARK,PT LANDMARK,,INDONESIA,IDN,,,,2865
6328,198308016,1,B2484,IRELAND,IRELAND,,IRELAND,IRL,O84,,,2318
6329,198308017,1,B2486,COMUNE DI MILANO,COMUNE DI MILANO,,ITALY,ITA,O84,,,1771
6330,198308018,1,B3091,ISTITUTO MOBILIARE ITALIANO,ISTITUTO MOBILIARE ITALIANO,,ITALY,ITA,K64,,,1447
6331,198308019,1,B3096,ISTITUTO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,ISTITUTO PER LO SVILUPPO ECONOMICO DELLITALIA MERIDIONALE,,ITALY,ITA,K64,,,1632
6332,198308020,1,B4796,SOCIETA PER AZIONI FINANZIARIA INDUSTRIA MANUFACTURERS,SOCIETA PER AZIONI FINANZIARIA INDUSTRIA MANUFACTURERS,,ITALY,ITA,,,,1621
6333,198308021,1,B3169,JORDAN CEMENT FACTORIES,JORDAN CEMENT FACTORIES,,JORDAN,JOR,C23,,,3133
6334,198308022,1,B5433,TANKS,TANKS,,NETHERLANDS,NLD,,,,4279
6335,198308023,1,B1946,ELOPAK A/S,ELOPAK AS,,NORWAY,NOR,C20,,,2111
6336,198308024,1,B4168,OMAN HOUSING BANK,OMAN HOUSING BANK,,OMAN,OMN,K64,,,418
6337,198308025,1,B2506,SULTANATE OF OMAN,SULTANATE OMAN,,OMAN,OMN,O84,,,2608
6338,198308026,1,B0796,BELA CHEMICAL INDUSTRIES LTD,BELA CHEMICAL INDUSTRIES LTD,,PAKISTAN,PAK,,,,6776
6339,198308027,1,B2555,REPUBLIC OF PORTUGAL,REPUBLIC PORTUGAL,,PORTUGAL,PRT,O84,,,556
6340,198308028,1,B2367,GENERAL AGENCIES CORPORATION,GENERAL AGENCIES CORPORATION,,SAUDI ARABIA,SAU,K65,,,5773
6341,198308029,1,B1682,DAEWOO CORPORATION (SINGAPORE),DAEWOO CORPORATION SINGAPORE,,SOUTH KOREA,KOR,C29,,,5819
6342,198308030,1,B2112,EXPORT-IMPORT BANK OF KOREA,EXPORTIMPORT BANK KOREA,,SOUTH KOREA,KOR,K64,,,190
6343,198308031,1,B2112,EXPORT-IMPORT BANK OF KOREA,EXPORTIMPORT BANK KOREA,,SOUTH KOREA,KOR,K64,,,190
6344,198308032,1,B2864,HYUNDAI ENGINEERING AND CONSTRUCTION CO,HYUNDAI ENGINEERING CONSTRUCTION CO,,SOUTH KOREA,KOR,F41,,,7840
6345,198308033,1,B3295,KOREA INDUSTRIAL LEASING CO,KOREA INDUSTRIAL LEASING CO,,SOUTH KOREA,KOR,,,,8377
6346,198308034,1,B0471,AUTOPISTAS VASCO-ARAGONESA CONCESSIONARIA ESPANOLA SA,AUTOPISTAS VASCOARAGONESA CONCESSIONARIA ESPANOLA SA,,SPAIN,ESP,D35,,,8956
6347,198308035,1,B1996,EMPRESA NACIONAL HIDROELECTRICA DEL RIBAGORZANA SA,EMPRESA NACIONAL HIDROELECTRICA DEL RIBAGORZANA SA,,SPAIN,ESP,D35,,,10390
6348,198308036,1,B2289,FORJAS Y ACEROS DE REINOSA,FORJAS Y ACEROS DE REINOSA,,SPAIN,ESP,C24,,,9833
6349,198308037,1,B2316,FUERZAS ELECTRICAS DE CATALUNA SA,FUERZAS ELECTRICAS DE CATALUNA SA,,SPAIN,ESP,D35,,,10456
6350,198308038,1,B2866,IBELSA,IBELSA,,SPAIN,ESP,,,,4280
6351,198308039,1,B2533,KINGDOM OF SWEDEN,KINGDOM SWEDEN,,SWEDEN,SWE,O84,,,659
6352,198308040,1,B5889,VOLVO,VOLVO,,SWEDEN,SWE,C32,,,3769
6353,198308041,1,B4408,PIONEER CONCRETE HOLDINGS LTD,PIONEER CONCRETE HOLDINGS LTD,,UNITED KINGDOM,GBR,C23,,,6824
6354,198308042,1,B1552,CONSUMERS POWER COMPANY,CONSUMERS POWER COMPANY,,UNITED STATES,USA,D35,,,8460
6355,198308043,1,B4210,OWENS ILLINOIS,OWENS ILLINOIS,,UNITED STATES,USA,C32,,,4728
6356,198308044,1,B5771,UNITED STATES LINES INC,UNITED STATES LINES INC,,UNITED STATES,USA,H50,,,7352
6357,198308045,1,B0113,AGRICULTURAL MARKETING AUTHORITY OF ZIMBABWE,AGRICULTURAL MARKETING AUTHORITY ZIMBABWE,,ZIMBABWE,ZWE,O84,,,2563
6358,198309001,1,B0627,BANCO NACIONAL DE ANGOLA,BANCO NACIONAL DE ANGOLA,,ANGOLA,AGO,K64,,,10210
6359,198309002,1,B0456,AUSTRALIAN WHEAT BOARD,AUSTRALIAN WHEAT BOARD,,AUSTRALIA,AUS,O84,,,2361
6360,198309003,1,B1805,DOLET HILLS MINING VENTURE,DOLET HILLS MINING VENTURE,,AUSTRALIA,AUS,B09,,,7801
6361,198309004,1,B0634,BANCO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL,BANCO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL,,BRAZIL,BRA,K64,,,10280
6362,198309005,1,B1977,EMPRESA MARITIMI DEL ESTADO,EMPRESA MARITIMI DEL ESTADO,,CHILE,CHL,H50,,,10043
6363,198309006,1,B2613,GUANGDONG TRUST & INVESTMENT,GUANGDONG TRUST INVESTMENT,,CHINA,CHN,L68,,,7257
6364,198309007,1,B2466,CITY OF COPENHAGEN,CITY COPENHAGEN,,DENMARK,DNK,O84,,,2372
6365,198309008,1,B1709,DANSK EXPORTFINANSIERINGSFOND,DANSK EXPORTFINANSIERINGSFOND,,DENMARK,DNK,,,,3080
6366,198309009,1,B2466,KINGDOM OF DENMARK,KINGDOM DENMARK,,DENMARK,DNK,O84,,,656
6367,198309010,1,B1765,DEUTSCHE AUSSENHANDELSBANK AKTIENGESELLSCHAFT,DEUTSCHE AUSSENHANDELSBANK AKTIENGESELLSCHAFT,,EAST GERMANY,DDR,K64,,,1993
6368,198309011,1,B3917,ALEXANDRIA NATIONAL STEEL CO SAE,ALEXANDRIA NATIONAL STEEL CO SAE,,EGYPT,EGY,C24,,,57
6369,198309012,1,B0691,BANK OF ALEXANDRIA,BANK ALEXANDRIA,,EGYPT,EGY,K64,,,387
6370,198309013,1,B3275,KONE CORPORATION,KONE CORPORATION,,FINLAND,FIN,F42,,,5838
6371,198309014,1,B1192,CENTRALE NUCLEAIRE EUROPEENNE A NEUTRONS RAPIDES SA,CENTRALE NUCLEAIRE EUROPEENNE A NEUTRONS RAPIDES SA,,FRANCE,FRA,D35,,,9297
6372,198309015,1,B1916,ELECTRICITE DE FRANCE,ELECTRICITE DE FRANCE,,FRANCE,FRA,D35,,,10591
6373,198309016,1,B1916,ELECTRICITE DE FRANCE,ELECTRICITE DE FRANCE,,FRANCE,FRA,D35,,,10591
6374,198309017,1,B1916,ELECTRICITE DE FRANCE,ELECTRICITE DE FRANCE,,FRANCE,FRA,D35,,,10591
6375,198309018,1,B0224,ALUMINUM DE GREECE,ALUMINUM DE GREECE,,GREECE,GRC,C24,,,9884
6376,198309019,1,B0701,BANK OF GREECE,BANK GREECE,,GREECE,GRC,K64,,,540
6377,198309020,1,B2344,GANZ-MAAYAG,GANZMAAYAG,,HUNGARY,HUN,,,,4281
6378,198309021,1,B5457,TECHNOIMPEX,TECHNOIMPEX,,HUNGARY,HUN,,,,4282
6379,198309022,1,B5482,TERIMPEX,TERIMPEX,,HUNGARY,HUN,G46,,,4127
6380,198309023,1,B0834,BHARAT HEAVY ELECTRICALS LTD,BHARAT HEAVY ELECTRICALS LTD,,INDIA,IND,C28,,,3067
6381,198309024,1,B2480,INDIAN GOVERNMENT,INDIAN GOVERNMENT,,INDIA,IND,O84,,,1880
6382,198309025,1,B4679,REPUBLIC OF INDONESIA,REPUBLIC INDONESIA,,INDONESIA,IDN,O84,,,551
6383,198309026,1,B0363,ARTSANA SPA,ARTSANA SPA,,ITALY,ITA,C21,,,1518
6384,198309027,1,B0586,BANCO DI NAPOLI,BANCO DI NAPOLI,,ITALY,ITA,K64,,,10282
6385,198309028,1,B1117,CASSA PER IL MEZZOGIORNO,CASSA PER IL MEZZOGIORNO,,ITALY,ITA,K64,,,1727
6386,198309029,1,B1542,CONSORZIO DI CREDITO PER LE OPERE PUBBLICHE,CONSORZIO DI CREDITO PER LE OPERE PUBBLICHE,,ITALY,ITA,K64,,,1732
6387,198309030,1,B2216,FINSIDER INTERNATIONAL SA,FINSIDER INTERNATIONAL SA,,ITALY,ITA,J62,,,5327
6388,198309031,1,B3091,ISTITUTO MOBILIARE ITALIANO,ISTITUTO MOBILIARE ITALIANO,,ITALY,ITA,K64,,,1447
6389,198309032,1,B3096,ISTITUTO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,ISTITUTO PER LO SVILUPPO ECONOMICO DELLITALIA MERIDIONALE,,ITALY,ITA,K64,,,1632
6390,198309033,1,B3096,ISTITUTO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,ISTITUTO PER LO SVILUPPO ECONOMICO DELLITALIA MERIDIONALE,,ITALY,ITA,K64,,,1632
6391,198309034,1,B3652,MEDIOCREDITO LOMBARDO,MEDIOCREDITO LOMBARDO,,ITALY,ITA,K64,,,2658
6392,198309035,1,B4796,SOCIETA PER AZIONI FINANZIARIA INDUSTRIA MANUFACTURERS,SOCIETA PER AZIONI FINANZIARIA INDUSTRIA MANUFACTURERS,,ITALY,ITA,,,,1621
6393,198309036,1,B5456,TECHNIPETROL SPA,TECHNIPETROL SPA,,ITALY,ITA,,,,1492
6394,198309037,1,B5456,TECHNIPETROL SPA,TECHNIPETROL SPA,,ITALY,ITA,,,,1492
6395,198309038,1,B1031,CAISSE DE STABILISATION ET DE SOUTIEN DES PRIX DES PRODUCTIONS AGRICOLES,CAISSE DE STABILISATION ET DE SOUTIEN DES PRIX DES PRODUCTIONS AGRICOLES,,IVORY COAST,CIV,O84,,,9429
6396,198309039,1,B2327,FURUKAWA ELECTRIC CO,FURUKAWA ELECTRIC CO,,JAPAN,JPN,C27,,,8814
6397,198309040,1,B2754,HITACHI CABLES,HITACHI CABLES,,JAPAN,JPN,C35,,,4682
6398,198309041,1,B3345,KUMAGAI-GUMI,KUMAGAIGUMI,,JAPAN,JPN,F41,,,4283
6399,198309042,1,B5418,TAKEFUJI CORPORATION,TAKEFUJI CORPORATION,,JAPAN,JPN,K64,,,5826
6400,198309043,1,B5578,TOSHIBA CORPORATION,TOSHIBA CORPORATION,,JAPAN,JPN,C27,,,5834
6401,198309044,1,B3355,KUWAIT HOTELS CO,KUWAIT HOTELS CO,,KUWAIT,KWT,,,,8171
6402,198309045,1,B2494,GOVERNMENT OF MALAYSIA,GOVERNMENT MALAYSIA,,MALAYSIA,MYS,O84,,,1839
6403,198309046,1,B0746,BANQUE NATIONALE POUR LE DEVELOPPEMENT ECONOMIQUE,BANQUE NATIONALE POUR LE DEVELOPPEMENT ECONOMIQUE,,MOROCOO,MAR,K64,,,9673
6404,198309047,1,B2766,HOLLANDSCHE BRETON GROUP,HOLLANDSCHE BRETON GROUP,,NETHERLANDS,NLD,F41,,,1417
6405,198309048,1,B2503,BAUCHI STATE OF NIGERIA,BAUCHI STATE NIGERIA,,NIGERIA,NGA,O84,,,1895
6406,198309049,1,B2503,GONGOLA STATE OF NIGERIA,GONGOLA STATE NIGERIA,,NIGERIA,NGA,O84,,,1900
6407,198309050,1,B2503,KWARA STATE OF NIGERIA,KWARA STATE NIGERIA,,NIGERIA,NGA,O84,,,1894
6408,198309051,1,B2507,ISLAMIC REPUBLIC OF PAKISTAN,ISLAMIC REPUBLIC PAKISTAN,,PAKISTAN,PAK,O84,,,565
6409,198309052,1,B4681,REPUBLIC OF PANAMA ON BEHALF OF INSTITUTO DE RECURSOS HIDRAULICOS Y ELECTRIFICATION,REPUBLIC PANAMA ON BEHALF INSTITUTO DE RECURSOS HIDRAULICOS Y ELECTRIFICATION,,PANAMA,PAN,O84,,,644
6410,198309053,1,B1774,DEVELOPMENT BANK OF THE PHILIPPINES,DEVELOPMENT BANK PHILIPPINES,,PHILIPPINES,PHL,K64,,,199
6411,198309054,1,B3670,MENZI CORPORATION,MENZI CORPORATION,,PHILIPPINES,PHL,,,,5855
6412,198309055,1,B3911,NATIONAL POWER CORPORATION OF THE PHILIPPPINES,NATIONAL POWER CORPORATION PHILIPPPINES,,PHILIPPINES,PHL,D35,,,34
6413,198309056,1,B4382,PHILIPPINES AIRLINES INC,PHILIPPINES AIRLINES INC,,PHILIPPINES,PHL,H51,,,917
6414,198309057,1,B5611,TRANSPORTES AEREOS PORTUGUES,TRANSPORTES AEREOS PORTUGUES,,PORTUGAL,PRT,H51,,,2649
6415,198309058,1,B3133,JANJOOM CENTRE,JANJOOM CENTRE,,SAUDI ARABIA,SAU,N77,,,4710
6416,198309059,1,B4306,PEGEL ARABIA,PEGEL ARABIA,,SAUDI ARABIA,SAU,,,,3254
6417,198309060,1,B4873,SAUDI IRON AND STEEL COMPANY,SAUDI IRON STEEL COMPANY,,SAUDI ARABIA,SAU,C24,,,7055
6418,198309060,2,B0153,AL JUBAIL FERTILIZER COMPANY,AL JUBAIL FERTILIZER COMPANY,,SAUDI ARABIA,SAU,C20,,,8652
6419,198309060,3,B4875,SAUDI METHANOL COMPANY,SAUDI METHANOL COMPANY,,SAUDI ARABIA,SAU,C20,,,8575
6420,198309061,1,B4876,SAUDI OGER LTD,SAUDI OGER LTD,,SAUDI ARABIA,SAU,F41,,,6305
6421,198309062,1,B4876,SAUDI OGER LTD,SAUDI OGER LTD,,SAUDI ARABIA,SAU,F41,,,6305
6422,198309063,1,B4877,SAUDI RESEARCH AND DEVELOPMENT CORPORATION,SAUDI RESEARCH DEVELOPMENT CORPORATION,,SAUDI ARABIA,SAU,,,,8257
6423,198309064,1,B2683,HARILELA HOTELS (SINGAPORE) PTE LTD,HARILELA HOTELS SINGAPORE PTE LTD,,SINGAPORE,SGP,I55,,,7781
6424,198309065,1,B2677,HANYANG CORPORATION,HANYANG CORPORATION,,SOUTH KOREA,KOR,C24,,,5817
6425,198309066,1,B3300,KOREA LONG-TERM CREDIT BANK,KOREA LONGTERM CREDIT BANK,,SOUTH KOREA,KOR,K64,,,228
6426,198309067,1,B0475,AUTOPISTAS DEL MARE NOSTRUM,AUTOPISTAS DEL MARE NOSTRUM,,SPAIN,ESP,F43,,,8889
6427,198309068,1,B0829,BETICA DE AUTOPISTAS,BETICA DE AUTOPISTAS,,SPAIN,ESP,,,,8911
6428,198309069,1,B2316,FUERZAS ELECTRICAS DE CATALUNA SA,FUERZAS ELECTRICAS DE CATALUNA SA,,SPAIN,ESP,D35,,,10456
6429,198309070,1,B2739,HIDROELECTRICA ESPANOLA SA,HIDROELECTRICA ESPANOLA SA,,SPAIN,ESP,D35,,,9036
6430,198309071,1,B2977,INSTITUTO DE CREDITO OFICIAL,INSTITUTO DE CREDITO OFICIAL,,SPAIN,ESP,K64,,,10490
6431,198309072,1,B2529,KINGDOM OF SPAIN,KINGDOM SPAIN,,SPAIN,ESP,O84,,,660
6432,198309073,1,B3821,MOTOR IBERICA,MOTOR IBERICA,,SPAIN,ESP,,,,9358
6433,198309074,1,B4415,PIRELLLI,PIRELLLI,,SPAIN,ESP,K64,,,4284
6434,198309075,1,B2091,EUROPEAN ECONOMIC COMMUNITY,EUROPEAN ECONOMIC COMMUNITY,,SUPRANATIONAL,,U99,,,2605
6435,198309076,1,B6003,WORLD BANK,WORLD BANK,,SUPRANATIONAL,,U99,,,290
6436,198309077,1,B5002,SIAM CREDIT LEASING LTD,SIAM CREDIT LEASING LTD,,THAILAND,THA,K64,,,6211
6437,198309078,1,B2542,REPUBLIC OF TURKEY,REPUBLIC TURKEY,,TURKEY,TUR,O84,,,651
6438,198309079,1,B3981,NEWSCORP INVESTMENTS LTD,NEWSCORP INVESTMENTS LTD,,UNITED KINGDOM,GBR,K64,,,7596
6439,198309080,1,B1382,COASTAL CORPORATION CONNECTION,COASTAL CORPORATION CONNECTION,,UNITED STATES,USA,D35,,,5828
6440,198309080,2,B1399,COLORADO INTERSTATE CORPORATION,COLORADO INTERSTATE CORPORATION,,UNITED STATES,USA,D35,,,5765
